id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,COURSE ID
1,2,2,3,3,1,2,2,1,1,1,1,2,3,1,2,5,3,2,2,1,1,1,1,1,3,2,1,2,1,1,1
2,2,2,3,3,1,2,2,1,1,1,2,3,2,1,2,1,2,2,2,1,1,1,1,1,3,2,3,2,2,3,1
3,2,2,2,3,2,2,2,2,4,2,2,2,2,1,2,1,2,1,2,1,1,1,1,1,2,2,1,1,2,2,1
4,1,1,1,3,1,2,1,2,1,2,1,2,5,1,2,1,3,1,2,1,1,1,1,2,3,2,2,1,3,2,1
5,2,2,1,3,2,2,1,3,1,4,3,3,2,1,2,4,2,1,1,1,1,1,2,1,2,2,2,1,2,2,1
6,2,2,2,3,2,2,2,2,1,1,3,3,2,1,2,3,1,1,2,1,1,1,1,1,1,2,1,2,4,4,1
7,1,2,2,4,2,2,2,1,1,3,1,3,1,1,2,4,2,2,2,2,1,2,1,1,3,3,3,3,4,4,1
8,1,1,2,3,1,1,1,2,2,3,4,3,1,1,4,3,1,2,2,1,1,1,3,1,3,2,2,1,1,1,1
9,2,1,3,3,2,1,1,1,1,3,2,4,2,1,2,4,1,2,2,1,1,1,1,1,3,2,2,2,4,3,1
10,2,1,2,3,2,2,1,3,4,2,1,2,3,1,2,3,2,2,2,1,1,2,1,1,2,2,2,2,1,2,1
11,1,1,1,3,2,2,2,3,2,3,3,4,2,1,3,2,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1
12,1,1,1,4,1,1,2,4,2,3,5,5,1,1,3,2,3,3,3,1,3,1,3,2,3,1,3,3,4,3,1
13,1,1,1,4,2,2,2,1,1,1,3,5,4,2,2,2,3,2,2,1,1,1,1,1,2,2,2,3,4,2,1
14,2,1,2,5,2,2,2,1,1,1,2,2,2,1,2,3,1,2,1,1,1,2,1,1,3,2,3,3,4,2,1
15,3,2,2,4,1,1,2,3,4,2,3,1,2,1,4,1,2,2,2,1,1,1,1,1,2,3,2,1,4,4,1
16,2,2,2,3,2,2,2,1,1,2,4,4,2,1,3,1,2,2,2,2,3,2,1,1,3,2,2,3,2,2,1
17,1,1,2,5,2,1,2,1,1,1,2,2,4,1,2,3,2,2,2,1,1,2,1,1,3,2,3,3,4,3,1
18,2,2,2,3,2,2,2,1,1,1,2,2,2,1,2,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1
19,1,1,2,4,2,2,2,3,1,1,2,2,5,1,2,5,5,3,2,2,1,2,1,1,3,1,3,3,3,3,1
20,1,2,1,3,2,2,1,2,2,2,3,3,3,1,2,4,4,2,2,1,2,1,1,1,3,2,2,3,2,3,1
21,1,2,2,5,1,2,1,1,4,2,3,3,3,2,2,3,4,2,2,2,1,1,1,2,3,1,2,3,4,4,1
22,1,2,2,5,2,2,1,1,4,2,2,2,4,1,2,3,3,2,2,1,1,1,1,1,3,1,3,3,3,3,1
23,2,2,2,3,1,2,1,1,1,1,1,1,4,2,2,4,3,3,3,1,1,1,1,2,3,1,2,3,3,3,1
24,3,2,2,2,1,1,2,5,1,1,1,4,3,1,2,1,3,2,3,1,1,2,1,1,3,2,3,3,3,3,1
25,2,2,2,3,2,2,2,2,1,1,3,1,3,1,2,4,1,2,2,1,1,1,1,1,2,1,3,2,4,4,1
26,2,2,2,3,2,2,1,1,1,2,1,4,3,1,2,4,2,2,2,1,1,1,1,1,2,1,3,2,1,2,1
27,2,2,2,3,2,1,1,1,1,1,4,4,4,1,2,4,2,3,2,1,1,1,1,1,3,3,3,2,2,1,1
28,1,2,1,3,1,2,2,1,1,1,1,1,4,1,2,3,3,2,2,1,1,2,1,1,3,1,2,1,2,1,1
29,3,2,2,3,2,2,1,1,4,2,2,2,4,1,2,1,2,2,2,1,1,1,1,1,3,2,3,3,5,4,1
30,2,2,3,4,2,2,2,1,4,2,3,3,2,1,4,1,2,2,2,1,1,1,1,1,3,2,2,2,4,3,1
31,2,2,2,5,1,1,1,1,1,2,1,1,5,1,2,4,2,2,2,1,1,1,2,1,2,3,3,3,5,4,1
32,3,2,2,3,1,2,2,1,1,2,1,2,4,1,2,3,2,2,3,1,1,1,1,1,3,3,2,3,4,3,1
33,2,1,2,3,2,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,2,1,2,3,1
34,2,1,2,3,1,2,1,1,1,1,1,2,5,1,2,3,2,1,2,1,1,1,1,1,1,3,2,2,2,3,1
35,1,2,1,3,2,2,1,2,1,1,3,3,3,1,2,4,2,1,1,1,1,2,1,1,2,2,3,1,4,1,1
36,1,2,1,4,2,2,2,3,1,1,1,2,5,1,2,3,2,2,2,1,1,2,1,1,2,1,3,1,1,1,1
37,2,2,3,4,1,2,1,3,1,1,1,1,2,2,4,3,1,1,3,1,1,2,2,1,2,1,2,1,4,3,1
38,2,2,2,3,1,1,1,2,2,3,3,3,1,1,2,3,2,2,2,1,1,1,1,1,3,2,3,3,5,4,1
39,2,2,2,5,2,2,2,1,1,1,3,3,1,1,2,4,3,2,2,1,1,1,2,1,2,2,2,2,4,3,1
40,2,1,2,3,2,2,1,1,1,2,1,3,1,1,2,4,1,2,1,1,1,1,1,1,2,2,2,3,2,1,1
41,1,2,1,3,2,2,2,2,1,1,2,3,1,1,2,5,1,2,2,1,1,1,1,1,3,1,2,1,2,3,1
42,3,2,2,3,1,2,2,2,1,2,1,4,2,1,2,2,3,2,2,1,1,2,1,1,3,2,2,3,4,3,1
43,2,2,2,3,2,1,2,1,4,2,4,4,2,1,3,1,2,2,1,1,1,1,1,1,2,1,3,1,2,3,1
44,1,2,2,3,2,2,1,1,1,1,2,3,3,1,2,1,2,2,2,1,1,2,1,1,3,1,3,3,3,2,1
45,2,2,3,3,2,2,1,1,1,1,1,3,2,1,2,5,2,2,2,1,1,1,2,1,3,2,2,1,4,3,1
46,1,2,2,3,2,2,1,4,1,1,2,3,5,1,2,4,3,2,2,1,1,1,1,1,2,2,2,1,4,3,1
47,2,2,2,3,2,2,1,1,1,1,1,2,3,1,2,5,2,2,2,1,1,1,1,1,2,2,3,1,4,2,1
48,2,2,2,3,2,2,1,1,1,2,4,3,1,1,5,4,2,2,2,1,1,2,1,1,2,1,3,2,5,3,1
49,1,2,2,3,2,1,1,1,1,2,3,3,3,1,2,2,1,1,2,1,1,1,1,1,3,2,3,2,2,2,1
50,1,2,1,4,2,2,2,2,4,1,2,3,2,1,2,4,2,2,2,1,1,1,2,1,2,2,2,1,3,2,1
51,2,2,2,3,2,2,1,2,2,1,1,1,2,1,2,3,2,2,2,1,1,2,1,1,2,2,2,3,3,3,1
52,2,1,3,3,1,1,2,1,1,1,1,2,5,1,2,1,1,2,2,1,1,2,1,1,2,3,3,1,3,3,1
53,2,1,2,3,1,2,2,2,1,1,1,3,4,1,2,1,3,1,1,1,1,1,1,2,2,2,2,1,4,2,1
54,2,1,2,3,2,1,2,2,1,1,1,1,5,1,2,1,1,2,2,1,1,2,1,1,2,2,2,2,3,2,1
55,2,2,2,3,2,2,2,3,4,2,1,4,2,1,4,2,2,1,1,1,1,1,1,2,3,1,3,1,5,3,1
56,3,2,2,3,1,2,1,4,1,2,1,1,5,3,2,1,1,2,2,1,1,1,3,3,1,3,3,3,5,4,1
57,2,2,2,3,2,1,2,1,1,1,1,3,5,1,2,4,4,2,3,1,1,1,1,2,3,2,3,3,5,4,1
58,2,2,2,3,1,1,2,1,1,1,4,2,3,1,3,3,2,3,2,1,1,1,1,1,3,2,3,1,5,4,1
59,3,2,2,3,2,2,1,3,1,1,1,3,5,2,2,1,3,2,2,1,1,1,1,1,3,2,2,2,5,4,1
60,2,2,2,3,2,1,1,1,1,1,4,4,3,1,2,3,3,2,2,1,1,1,1,1,3,3,2,2,4,3,1
61,2,1,2,3,2,2,2,5,2,1,6,1,3,1,2,3,1,2,2,1,1,1,1,1,1,3,3,1,2,1,1
62,1,2,3,3,2,1,2,2,1,2,1,3,4,1,2,3,3,1,2,1,3,2,1,1,3,2,2,2,4,4,1
63,2,2,2,3,2,2,2,1,4,2,2,3,2,1,2,4,3,2,2,1,1,1,1,1,2,3,3,2,5,4,1
64,2,2,2,4,2,2,1,2,1,1,1,3,3,1,2,1,1,1,2,1,1,1,3,1,2,2,2,1,3,3,1
65,2,2,3,5,2,2,2,1,1,1,2,2,2,1,2,1,1,2,2,1,3,1,2,1,3,2,3,1,4,3,1
66,1,2,2,3,2,2,1,3,1,1,2,4,3,1,2,4,1,1,2,1,3,2,2,1,2,1,2,1,2,2,1
67,2,2,2,3,2,2,1,1,1,1,3,2,5,1,2,5,2,2,2,1,1,1,1,1,3,2,2,3,5,4,2
68,2,2,3,3,1,1,2,3,1,2,3,4,4,2,2,2,2,2,2,1,1,2,1,1,2,2,1,2,2,3,2
69,2,1,2,4,1,2,2,1,1,1,2,3,5,3,2,5,1,2,2,1,1,2,1,1,2,2,3,2,4,3,3
70,2,1,2,4,2,2,1,1,1,1,2,2,2,1,2,3,1,1,2,1,1,1,2,1,3,2,3,1,3,2,3
71,1,2,2,4,2,1,1,1,1,1,4,3,1,2,4,2,2,2,2,1,1,1,1,1,2,2,3,1,5,4,3
72,1,1,3,4,2,2,2,1,1,3,1,3,5,1,2,4,2,2,1,1,1,1,1,1,2,3,3,3,2,2,3
73,1,2,2,3,2,1,1,1,1,2,1,1,2,1,2,3,2,3,3,1,1,1,1,1,2,2,3,2,3,3,3
74,2,2,2,4,2,2,2,1,1,2,1,3,4,1,2,4,3,1,1,2,1,1,1,2,3,2,3,1,5,3,3
75,1,2,2,4,2,2,2,1,1,1,2,2,3,1,2,1,2,2,2,2,1,1,2,1,3,2,3,2,3,3,3
76,1,2,2,4,2,1,2,1,1,3,1,5,4,1,2,2,3,3,1,1,1,1,1,1,2,2,2,2,4,1,3
77,2,2,1,2,2,1,2,2,1,1,5,4,3,1,4,3,2,3,2,1,1,1,3,2,2,1,2,3,2,2,4
78,1,2,1,2,2,2,1,2,2,2,6,5,2,1,4,2,2,2,2,2,1,2,3,1,2,2,2,2,1,1,4
79,2,1,2,4,1,1,2,1,1,1,1,3,4,1,2,4,2,3,3,1,1,2,1,1,3,3,2,2,2,2,4
